county,SPRINT,AT_T,SPRINT*AT_T,sum_SPRINT,sum_AT_T,net
093,0.1770186223090543,0.0543554750069381,0.009621931300682417,0.1770186223090543,0.0543554750069381,0.009621931300682417
133,0.2560685886591724,0.03451096713856472,0.008837174648435345,0.4330872109682267,0.08886644214550282,0.0384869195774651
387,0.18060306007348273,0.04609023777838056,0.008324037982289968,0.6136902710417095,0.13495667992388338,0.08282160148137722
307,0.11877819310033164,0.07005748983226129,0.008321302055420851,0.7324684641420411,0.20501416975614467,0.15016641404863898
349,0.14327162076598743,0.05573763671268872,0.007985621549492717,0.8757400849080286,0.2607518064688334,0.22835080913693798
035,0.08891264723424003,0.08648056669326987,0.007689216119015871,0.9646527321422687,0.34723237316210326,0.33495865745906667
159,0.0685302105388525,0.11173856702955748,0.0076574675238452565,1.0331829426811212,0.45897094019166074,0.4742009465923409
319,0.07579149803853538,0.0876074926761819,0.006639903109327843,1.1089744407196567,0.5465784328678427,0.6061415118990423
089,0.08298418260991758,0.07973846749617897,0.006617031547737893,1.1919586233295743,0.6263169003640217,0.7465438303259454
001,0.17472788645918277,0.03690713634303666,0.006448705928479688,1.366686509788757,0.6632240367070583,0.90641934393518
147,0.17730671792241526,0.034825120583655333,0.006174727831940273,1.5439932277111723,0.6980491572907137,1.0777831714663528
313,0.1670703974794343,0.03649926081872096,0.006097946012689253,1.7110636251906066,0.7345484181094346,1.2568590791683547
317,0.24148239526927343,0.02428679484372026,0.0058648333922750075,1.9525460204598801,0.7588352129531548,1.481660675236508
145,0.053878973437517796,0.10861038097401632,0.0058518158315377135,2.006424993897398,0.8674455939271711,1.7404645205016493
303,0.2311693337547389,0.022607862935484002,0.005226244612414292,2.237594327652137,0.8900534568626551,1.9915785663830532
107,0.14086376025201078,0.036382000198029035,0.005124905353383771,2.3784580879041477,0.9264354570606842,2.20348790576716
083,0.16007349645230615,0.031241121011619438,0.005000875473419531,2.5385315843564538,0.9576765780723037,2.431092241034952
099,0.07096418686553405,0.06909451714006115,0.004903236225711144,2.609495771221988,1.0267710952123648,2.679354830969635
095,0.16723406741664446,0.027442220510499993,0.004589274154915379,2.7767298386386323,1.0542133157228648,2.927265570057848
293,0.03972512751477686,0.11394506343649902,0.004526482174694262,2.816454966153409,1.168158379159364,3.2900654682371075
219,0.04525941916224627,0.09998146238755001,0.004525102914652485,2.8617143853156555,1.268139841546914,3.62905402714672
455,0.1458547524699652,0.02933843384781945,0.004279150006730155,3.007569137785621,1.2974782753947336,3.902255618024513
375,0.15042939972907277,0.02765187602188071,0.004159655111354256,3.1579985375146937,1.3251301514166143,4.184759080190292
163,0.12299752817749265,0.032813141973949383,0.0040359353545329065,3.2809960656921864,1.3579432933905637,4.45540660304753
181,0.19445685725417916,0.0205782681245964,0.0040015853472428675,3.4754529229463653,1.3785215615151603,4.790986790312451
257,0.11491231692360754,0.03457632326807647,0.003973245417434309,3.590365239869973,1.4130978847832367,5.073537526059517
391,0.0513769836989883,0.07661063899085374,0.00393602355060217,3.6417422235689614,1.4897085237740906,5.425134431838692
031,0.10251371416711866,0.03751424420156285,0.003845724507274503,3.7442559377360802,1.5272227679756534,5.718312917238572
279,0.05281783112121241,0.07273680499222222,0.0038418002823757532,3.7970737688572926,1.5999595729678755,6.075164525748436
139,0.08464518539745503,0.04452873369514687,0.0037691429191396095,3.8817189542547474,1.6444883066630225,6.383441430024148
405,0.09167005023716583,0.040588225709350056,0.0037207246898135456,3.973389004491913,1.6850765323723724,6.695464565455746
331,0.029246458692668953,0.12448932884584987,0.00364087201376823,4.002635463184582,1.8095658612182224,7.243032489080207
299,0.10054174135401048,0.03586241753708405,0.003605669908343034,4.103177204538593,1.8454282787553065,7.572119245999666
403,0.11738958212293227,0.030314407847203545,0.003558595669487363,4.220566786661525,1.87574268660251,7.916697283397812
171,0.06292890982984137,0.056363282590552205,0.0035468799278547273,4.283495696491366,1.9321059691930622,8.276167604203762
259,0.1402980480407338,0.025080051257454217,0.0035186822361823783,4.4237937445321,1.9571860204505165,8.658187274154669
445,0.053969129929288054,0.06473289144661726,0.003493577829180986,4.477762874461388,2.0219189118971337,9.053673438864351
297,0.14350947529350577,0.024331706593558516,0.0034918304462371176,4.621272349754894,2.046250618490692,9.456281403899885
081,0.1294731396384724,0.02683983529730155,0.003475037743321124,4.750745489393366,2.0730904537879935,9.848725122437756
499,0.10153658889547512,0.03382077430727459,0.0034340460569643877,4.852282078288841,2.106911228095268,10.223327592632202
071,0.10085518312031491,0.03377828733026342,0.00340671535418433,4.953137261409156,2.1406895154255317,10.60312900396211
027,0.07327186427491861,0.04584331742040715,0.0033590253319400842,5.026409125684074,2.1865328328459386,10.990408584624676
161,0.17084407678914149,0.019642249460490147,0.0033557619751394515,5.197253202473215,2.206175082306429,11.466050511733696
407,0.25182150352291566,0.01330498447882561,0.0033504811958069217,5.44907470599613,2.2194800667852546,12.094112692382133
007,0.14610348037963738,0.022778058267516277,0.0033279535891743016,5.595178186375768,2.242258125052771,12.545833749519092
217,0.05846591719503197,0.0567568563799879,0.0033183416653626945,5.6536441035708,2.2990149814327587,12.997812493798248
367,0.19420126875246846,0.016899486301715283,0.003281901681058069,5.847845372323269,2.315914467734474,13.54310970283755
477,0.0620207786769823,0.052548369536579154,0.0032590907968644547,5.909866151000251,2.3684628372710534,13.997298351890214
457,0.11118697406119372,0.028889712447984994,0.003212159708589453,6.021053125061444,2.3973525497190384,14.434587061359837
409,0.2508525931052564,0.012534003541781746,0.003144187290446419,6.271905718166701,2.40988655326082,15.114581253529579
